                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                  1.468,                 0.9019,                 1.0617,                0.86105,                0.68598,                0.80201,                0.48275,                 1.3032,                0.73069,                0.99522,                0.00604,                0.00604,                0.00604
                    122,                 1.4464,                 0.8928,                 1.0534,                0.84956,                0.70018,                0.80155,                0.48544,                 1.2957,                0.72696,                0.99355,               0.006007,               0.006007,               0.006007
                    123,                 1.4573,                0.90397,                 1.0607,                0.82238,                0.71473,                0.80183,                0.48588,                 1.2901,                0.72763,                0.99444,               0.005974,               0.005974,               0.005974
                    124,                 1.4746,                0.91307,                 1.0659,                0.84132,                0.71024,                0.80412,                0.48469,                 1.2964,                0.72931,                0.99319,               0.005941,               0.005941,               0.005941
                    125,                 1.4621,                0.90143,                   1.06,                 0.8402,                0.70858,                0.80641,                0.49292,                 1.2781,                0.71041,                0.98523,               0.005908,               0.005908,               0.005908
                    126,                 1.4657,                0.89962,                 1.0623,                0.85426,                0.71361,                0.81294,                0.49661,                 1.2739,                0.71036,                0.98702,               0.005875,               0.005875,               0.005875
                    127,                 1.4526,                0.89557,                  1.058,                 0.8731,                0.68928,                0.80928,                0.49544,                 1.2707,                0.70936,                0.98714,               0.005842,               0.005842,               0.005842
                    128,                 1.4309,                0.88525,                 1.0516,                0.85908,                0.71968,                0.81652,                0.50466,                 1.2559,                0.69599,                0.98314,               0.005809,               0.005809,               0.005809
                    129,                 1.4405,                0.89718,                 1.0562,                0.85834,                0.71069,                0.81488,                0.50316,                 1.2605,                0.70299,                0.98258,               0.005776,               0.005776,               0.005776
                    130,                 1.4275,                0.87636,                 1.0449,                0.85375,                0.72282,                0.81969,                0.51064,                 1.2397,                0.69427,                0.97758,               0.005743,               0.005743,               0.005743
                    131,                 1.4169,                0.87076,                 1.0457,                0.84856,                 0.7199,                0.81954,                0.50668,                 1.2434,                  0.694,                0.97772,                0.00571,                0.00571,                0.00571
                    132,                 1.4312,                0.87993,                 1.0482,                0.88387,                0.70777,                0.81801,                0.51042,                 1.2367,                0.68786,                 0.9764,               0.005677,               0.005677,               0.005677
                    133,                   1.42,                0.87401,                 1.0476,                0.88146,                0.71743,                0.82143,                0.51115,                 1.2304,                0.68711,                0.97601,               0.005644,               0.005644,               0.005644
                    134,                 1.4157,                 0.8693,                 1.0462,                 0.8607,                0.72417,                0.81743,                0.51002,                 1.2295,                0.69255,                0.97517,               0.005611,               0.005611,               0.005611
                    135,                 1.4129,                0.87362,                 1.0454,                0.86281,                0.72013,                0.82261,                0.51467,                 1.2299,                0.68756,                0.97394,               0.005578,               0.005578,               0.005578
                    136,                 1.4148,                 0.8719,                 1.0405,                0.84953,                0.72956,                0.82314,                0.51706,                  1.212,                0.67883,                0.96919,               0.005545,               0.005545,               0.005545
                    137,                 1.4142,                0.87376,                 1.0419,                0.85127,                0.73046,                0.82164,                0.51261,                 1.2209,                0.68297,                0.97032,               0.005512,               0.005512,               0.005512
                    138,                 1.4157,                0.87159,                 1.0436,                0.84798,                0.74079,                0.82669,                0.51456,                 1.2164,                 0.6754,                0.97075,               0.005479,               0.005479,               0.005479
                    139,                  1.415,                 0.8669,                 1.0446,                0.86483,                0.73765,                0.83113,                0.51881,                 1.2133,                0.66882,                 0.9702,               0.005446,               0.005446,               0.005446
                    140,                 1.4023,                0.85989,                 1.0426,                0.85982,                0.74169,                0.83566,                0.51919,                 1.2095,                0.66597,                0.96904,               0.005413,               0.005413,               0.005413
                    141,                 1.3875,                0.84606,                 1.0362,                0.87087,                0.73001,                0.83194,                0.52154,                    1.2,                0.66774,                0.96809,                0.00538,                0.00538,                0.00538
                    142,                 1.3837,                0.85001,                 1.0376,                0.87029,                0.72339,                0.83084,                0.52313,                 1.1992,                0.66905,                 0.9673,               0.005347,               0.005347,               0.005347
                    143,                 1.3865,                0.85078,                 1.0379,                0.87709,                0.71809,                0.82729,                0.52283,                 1.1968,                0.66536,                0.96745,               0.005314,               0.005314,               0.005314
                    144,                 1.3696,                  0.838,                 1.0285,                0.85887,                0.73091,                0.82907,                 0.5217,                 1.1964,                0.66852,                0.96662,               0.005281,               0.005281,               0.005281
                    145,                   1.39,                0.85078,                 1.0343,                 0.8594,                0.74034,                 0.8361,                0.52653,                 1.1859,                0.66197,                 0.9611,               0.005248,               0.005248,               0.005248
                    146,                 1.3543,                0.82734,                 1.0206,                0.86238,                0.73944,                0.83679,                0.52817,                 1.1833,                0.66155,                0.96153,               0.005215,               0.005215,               0.005215
                    147,                 1.3667,                0.83379,                 1.0239,                0.85702,                0.74857,                0.83702,                0.53013,                 1.1781,                0.65431,                0.96166,               0.005182,               0.005182,               0.005182
                    148,                 1.3663,                0.82914,                 1.0248,                0.88027,                0.73765,                0.83653,                0.53186,                 1.1672,                0.65353,                  0.957,               0.005149,               0.005149,               0.005149
                    149,                 1.3739,                0.83837,                 1.0287,                0.87951,                 0.7336,                0.83773,                0.53136,                 1.1676,                0.65407,                0.95751,               0.005116,               0.005116,               0.005116
                    150,                 1.3773,                0.84341,                  1.033,                0.87191,                0.74306,                0.83806,                0.53369,                 1.1628,                0.64592,                 0.9565,               0.005083,               0.005083,               0.005083
                    151,                 1.3786,                 0.8538,                 1.0326,                 0.8776,                0.73854,                 0.8411,                0.53532,                  1.166,                0.64678,                0.95734,                0.00505,                0.00505,                0.00505
